"filename", "language", "HTML", "Markdown", "comment", "blank", "total"
"/home/omikron/Projects/odin-recipes/README.md", "Markdown", 0, 1, 0, 1, 2
"/home/omikron/Projects/odin-recipes/index.html", "HTML", 12, 0, 0, 0, 12
"/home/omikron/Projects/odin-recipes/recipes/autumn-sunset.html", "HTML", 64, 0, 0, 1, 65
"Total", "-", 76, 1, 0, 2, 79
