"filename", "language", "Markdown", "HTML", "comment", "blank", "total"
"/home/omikron/Projects/odin-recipes/README.md", "Markdown", 1, 0, 0, 1, 2
"/home/omikron/Projects/odin-recipes/index.html", "HTML", 0, 12, 0, 0, 12
"/home/omikron/Projects/odin-recipes/recipes/autumn-sunset.html", "HTML", 0, 98, 0, 1, 99
"Total", "-", 1, 110, 0, 2, 113
